	CH2500	CH2502	CH2522	F1659
PA14_03370	79	0	0	0
PA14_03380	319	1	0	0
PA14_03390	30	0	0	0
PA14_03400	30	0	0	0
PA14_03410	2	6	28	13
PA14_03420	6	14	20	53
PA14_03430,gabD	292	324	449	492
PA14_03450,gabT	336	306	533	431
PA14_03470	40	75	90	114
PA14_03480	24	52	41	40
PA14_03490	28	61	67	63
PA14_03510	33	66	70	53
PA14_03520	22	37	48	50
PA14_03530	7	16	42	45
PA14_03550,cynX	3	10	9	29
PA14_03560	8	16	13	37
PA14_03580	32	63	80	82
PA14_03590	9	34	13	20
PA14_03610,ycaL	31	53	285	120
PA14_03620	8	33	36	16
PA14_03630	15	29	63	26
PA14_03650,cysA	153	46	151	113
PA14_03670,cysW	151	69	124	153
PA14_03680,cysT	98	21	86	95
PA14_03700,sbp	289	98	193	191
PA14_03710	117	58	90	56
PA14_03720	129	177	337	315
PA14_03730	375	395	570	462
PA14_03760	20	22	12	123
PA14_03770,speB1	22	18	16	44
PA14_03780	47	81	76	115
PA14_03790	45	155	104	130
PA14_03800,oprE	683	839	793	639
PA14_03810,aguA	160	221	294	252
PA14_03830,aguB	92	70	132	149
PA14_03840,aguR	43	53	69	78
PA14_03855	164	188	214	207
PA14_03860	404	458	545	511
PA14_03870,spuA	128	147	141	149
PA14_03880,spuB	416	468	517	490
PA14_03900,spuC	471	525	634	516
PA14_03920,spuD	657	759	758	711
PA14_03930,spuE	347	369	457	362
PA14_03940,spuF	367	364	495	372
PA14_03950,spuG	244	246	361	248
PA14_03960,spuH	136	144	224	198
PA14_03980	100	396	177	236
PA14_04000	50	59	92	80
PA14_04010	158	284	225	286
PA14_04020	30	39	116	41
PA14_04030	64	117	163	90
PA14_04040	64	107	183	104
PA14_04050	32	30	53	85
PA14_04060	4	13	6	19
PA14_04070	59	115	128	53
PA14_04080,yecS	24	51	62	50
PA14_04090,fliY	79	159	183	137
PA14_04100	128	196	163	271
PA14_04110,serA	407	443	715	457
PA14_04140	346	394	540	393
PA14_04150,ycgM	113	125	164	134
PA14_04160	143	151	233	204
PA14_04180	19	20	22	46
PA14_04190,aphA	42	50	13	99
PA14_04210	24	24	11	101
PA14_04220	36	56	50	128
PA14_04230	29	24	9	137
PA14_04240	10	6	10	69
PA14_04250	21	20	12	100
PA14_04270	23	54	50	66
PA14_04290	108	72	96	104
PA14_04300	52	125	94	127
PA14_04310,rpiA	124	139	226	192
PA14_04320,ilvA1	367	330	625	426
PA14_04330	99	128	167	92
PA14_04340	50	88	154	67
PA14_04350	22	41	66	60
PA14_04370	26	53	39	84
PA14_04380	92	109	143	109
PA14_04390,ygdP	254	296	354	266
PA14_04410,ptsP	706	1036	1086	904
PA14_04420	79	113	136	128
PA14_04430	62	139	140	83
PA14_04440	62	61	134	137
PA14_04460,lgt	73	88	141	123
PA14_04480,thyA	126	133	291	151
PA14_04490	65	90	90	121
PA14_04510	166	270	184	264
PA14_04520	92	163	171	107
PA14_04530	36	68	78	27
PA14_04550,glpQ	15	25	20	121
PA14_04560	21	16	19	37
PA14_04570	7	17	13	55
PA14_04580,folA	49	86	170	56
PA14_04590	22	53	94	56
PA14_04610,yicE	32	23	65	70
PA14_04630,ilvD	568	575	691	552
PA14_04640	82	92	155	172
PA14_04650,pfpI	58	115	35	242
PA14_04660	68	138	225	113
PA14_04670,mutM	147	167	263	170
PA14_04680	57	45	58	90
PA14_04690	67	89	53	74
PA14_04700	139	236	302	237
PA14_04710	79	1	0	38
PA14_04730	125	195	63	288
PA14_04750,fdx1	47	67	85	59
PA14_04760,coaD	91	85	179	99
PA14_04780	61	66	93	188
PA14_04790	43	59	43	122
PA14_04810	45	105	101	214
PA14_04820	112	135	151	135
PA14_04830	17	41	42	44
PA14_04840	81	140	144	143
PA14_04850	18	12	18	17
PA14_04860,yhhF	83	79	127	128
PA14_04870	179	243	360	341
PA14_04890	219	255	398	392
PA14_04900,ftsY	445	497	727	470
PA14_04910,ftsE	221	277	303	255
PA14_04920,ftsX	214	256	298	240
PA14_04930,rpoH	480	494	612	464
PA14_04940	57	74	115	67
PA14_04950,mtgA	33	39	85	63
PA14_04960	19	57	91	60
PA14_04970,thiS	16	18	61	36
PA14_04980,thiG	106	127	290	151
PA14_05000,trmB	47	58	142	90
PA14_05010	19	31	44	105
PA14_05020	12	28	24	35
PA14_05030	29	38	47	70
PA14_05040	45	35	76	71
PA14_05050	69	132	174	88
PA14_05060	151	194	252	211
PA14_05070,metW	99	132	241	189
PA14_05080,metX	165	162	372	229
PA14_05110	438	470	242	300
PA14_05120	26	11	31	29
PA14_05130	106	128	198	134
PA14_05150,proC	170	203	310	135
