	CH2500	CH2502	CH2522	F1659
PA14_20420,phnL	2	4	5	22
PA14_20430,phnM	47	60	77	64
PA14_20440,phnN	51	58	85	50
PA14_20450,phnP	28	35	43	58
PA14_20460	14	21	21	44
PA14_20470	14	17	20	47
PA14_20480	100	98	93	190
PA14_20491	16	68	25	38
PA14_20500	7	12	13	0
PA14_20510	280	181	80	127
PA14_20520	415	482	105	269
PA14_20530	189	234	0	0
PA14_20550	13	52	0	1
PA14_20560,amiE	150	347	134	221
PA14_20570,amiB	103	222	71	94
PA14_20580,amiC	52	169	61	79
PA14_20590,amiR	32	107	45	64
PA14_20600	88	0	0	122
PA14_20610,lecB	2	17	9	45
PA14_20620	4	6	6	24
PA14_20630	6	9	7	54
PA14_20640	27	34	59	65
PA14_20650,dsdA	64	112	188	127
PA14_20670	304	283	315	299
PA14_20680	108	155	147	178
PA14_20690	27	52	40	39
PA14_20700	77	228	227	115
PA14_20720,flgN	140	208	270	209
PA14_20730,flgM	164	217	249	211
PA14_20740,flgA	73	126	198	102
PA14_20750	370	612	676	554
PA14_20760,cheR	127	293	306	193
PA14_20770	44	86	55	111
PA14_20780	82	222	173	362
PA14_20800	33	46	53	63
PA14_20810,recQ	379	432	736	409
PA14_20820	48	129	229	110
PA14_20840	41	186	226	129
PA14_20850,slyA	40	55	102	45
PA14_20860	26	225	120	103
PA14_20870	114	106	190	195
PA14_20880	11	14	29	27
PA14_20890,rfaD	107	296	328	224
PA14_20900	7	7	12	31
PA14_20920	3	11	6	20
PA14_20940	3	11	16	33
PA14_20950,fabH2	7	18	9	81
PA14_20960	1	10	2	37
PA14_20970,cyp23	6	21	12	120
PA14_20980	6	10	6	21
PA14_21000	7	2	3	56
PA14_21010	2	5	3	45
PA14_21020	25	40	23	281
PA14_21030	70	116	143	282
PA14_21040	4	22	31	48
PA14_21050	24	28	44	93
PA14_21060	20	12	46	43
PA14_21070	56	38	82	76
PA14_21080,toxR	55	43	63	42
PA14_21090	8	13	19	35
PA14_21110,plcN	35	30	37	158
PA14_21120	12	21	25	116
PA14_21130	22	29	82	65
PA14_21140	43	33	142	56
PA14_21150	40	33	85	28
PA14_21160	52	51	130	46
PA14_21175	264	187	392	291
PA14_21180	40	36	107	32
PA14_21190	16	122	58	207
PA14_21210	146	123	210	174
PA14_21220	129	233	246	191
PA14_21230,hepA	421	412	814	473
PA14_21240	50	68	68	60
PA14_21250,alkB	95	143	140	127
PA14_21260	72	86	83	89
PA14_21280	43	96	105	173
PA14_21290	19	38	27	73
PA14_21300	5	7	14	23
PA14_21310,phaJ1	114	177	204	189
PA14_21320	204	270	341	276
PA14_21340,fadD2	270	332	267	422
PA14_21370,fadD1	576	621	771	675
PA14_21380	3	3	7	18
PA14_21400,hrpA	373	493	848	486
PA14_21410,phoA	11	12	9	115
PA14_21440	116	167	177	179
PA14_21450	56	173	233	225
PA14_21460	5	22	46	29
PA14_21470	21	78	79	116
PA14_21480	81	163	37	63
PA14_21490	229	482	188	237
PA14_21510	2	18	10	32
PA14_21520	21	39	39	32
PA14_21530	19	39	33	40
PA14_21540,fabH-2	157	210	258	223
PA14_21550	67	80	90	71
PA14_21560	3	17	8	11
PA14_21570	156	255	184	126
PA14_21580	189	254	197	118
PA14_21590	111	151	110	46
PA14_21600	30	81	64	36
PA14_21610,oprO	34	68	41	111
PA14_21620,oprP	5	10	1	89
PA14_21630	35	72	26	43
PA14_21640	61	109	92	120
PA14_21650	8	7	17	44
PA14_21660	4	18	10	9
PA14_21670	4	23	2	102
PA14_21680	19	19	14	72
PA14_21690,lhr1	143	444	423	312
PA14_21700	344	511	568	703
PA14_21710	143	175	265	167
PA14_21720	65	58	81	67
PA14_21730,fecA	180	185	177	252
PA14_21750	71	186	171	189
PA14_21760,capB	34	35	39	52
PA14_21770,sugE	4	3	6	11
PA14_21780	31	41	53	79
PA14_21790,rdgC	163	134	209	214
PA14_21800	25	22	37	29
PA14_21810	9	6	22	16
PA14_21820	312	308	398	370
PA14_21830	19	19	21	35
PA14_21840	37	84	63	97
PA14_21850	86	95	118	100
PA14_21860	23	45	56	41
PA14_21870	16	27	39	105
PA14_21880,tsp	750	1075	1130	1170
PA14_21890,qor	110	214	220	172
PA14_21900	42	59	126	75
PA14_21910	47	105	83	120
PA14_21920	8	28	10	74
PA14_21930	3	20	5	51
PA14_21940	12	45	10	72
PA14_21960	18	151	55	214
PA14_21970	2	15	9	23
PA14_21980	20	51	66	40
PA14_21990	171	240	277	234
PA14_22000,rluA	93	65	127	101
PA14_22010,minE	69	73	120	90
PA14_22020,minD	435	468	599	476
PA14_22040,minC	238	259	372	221
PA14_22050,htrB	70	80	180	143
PA14_22060	200	295	288	315
PA14_22075	46	30	22	28
PA14_22080	157	0	0	0
PA14_22090	50	0	0	0
PA14_22100	38	0	0	0
PA14_22110	40	0	0	0
PA14_22120	80	0	0	0
PA14_22130	20	0	0	1
PA14_22140	33	0	0	0
PA14_22160	17	0	0	1
PA14_22180	10	0	0	0
PA14_22190	58	1	0	0
PA14_22210	21	0	0	0
PA14_22220	25	0	0	0
PA14_22230	24	1	0	0
PA14_22240	27	0	0	0
PA14_22250	19	0	0	0
PA14_22260	15	0	0	1
PA14_22270	361	0	1	1
PA14_22280	19	15	17	26
PA14_22290,vacJ	94	172	200	185
PA14_22310	192	265	337	349
PA14_22320	6	10	4	29
PA14_22330	43	54	59	98
PA14_22340,yjcH	91	139	73	53
PA14_22350,actP	302	509	224	273
PA14_22370	153	258	108	208
PA14_22380	43	61	30	72
PA14_22400	13	21	10	76
PA14_22410	64	91	126	110
PA14_22420	20	32	32	171
PA14_22440,bapA	208	257	334	290
PA14_22450,ppiA	123	199	203	181
PA14_22460	181	219	213	232
PA14_22470	124	158	232	144
PA14_22480	94	59	87	132
PA14_22490,acpD	14	13	15	83
PA14_22500	17	0	0	83
PA14_22510	3	2	0	25
PA14_22520	20	0	0	123
PA14_22530	16	0	0	66
PA14_22540,wrbA	19	0	0	67
PA14_22550	52	0	0	96
PA14_22560	83	121	57	44
PA14_22570,csaA	99	99	65	58
PA14_22580	65	105	138	90
PA14_22590	6	5	2	44
PA14_22600,grtA	2	5	3	31
PA14_22620,cyaB	139	178	211	189
PA14_22630	8	26	22	28
PA14_22640	51	66	88	106
PA14_22650	83	153	177	83
PA14_22660	150	235	284	226
PA14_22670,yrbF	76	176	146	148
PA14_22680,yrbE	209	301	348	279
PA14_22690,trkH	76	79	121	151
PA14_22700,ykgJ	10	6	8	17
PA14_22710,ydjA	41	69	99	38
PA14_22720	36	59	46	29
PA14_22730	31	70	84	76
PA14_22740	57	182	99	121
PA14_22760,cpxR	62	94	149	98
PA14_22770	79	113	166	132
PA14_22780,yciI	65	98	123	74
PA14_22800,yciB	151	208	245	194
PA14_22820,yciV	72	88	118	116
PA14_22830,yciO	93	160	161	164
PA14_22840,ypuG	112	194	170	205
PA14_22860	114	128	178	156
PA14_22870	40	38	86	73
PA14_22880	17	25	38	22
PA14_22890,gapA	447	432	466	254
PA14_22910,edd	633	517	567	454
PA14_22930,glk	271	211	260	158
PA14_22940,gltR	109	92	130	78
PA14_22960	209	156	243	136
PA14_22980,gltB	911	891	847	439
PA14_22990,gltF	351	309	280	68
PA14_23000,gltG	394	350	309	147
PA14_23010,gltK	808	773	764	341
PA14_23030,oprB	749	747	671	337
PA14_23050	179	211	255	184
PA14_23060,hexR	109	93	148	124
PA14_23070,zwf	641	525	487	340
PA14_23080,pgl	275	280	296	116
PA14_23090,edaA	144	103	118	67
PA14_23100,mutT	14	88	84	66
PA14_23110,yciL	68	119	166	152
PA14_23120	32	41	65	24
PA14_23130	21	51	48	65
PA14_23160,gltS	10	12	13	44
PA14_23170,hutG	16	45	45	59
PA14_23190	20	38	32	45
PA14_23200,yciK	90	132	170	168
PA14_23210	88	104	152	116
PA14_23220,ubiG	113	153	204	137
PA14_23240	228	256	308	269
PA14_23250,mtnA	216	210	362	240
PA14_23260,gyrA	1095	1009	1501	1125
PA14_23270,serC	400	336	602	439
PA14_23280,pheA	381	320	476	505
PA14_23290,hisC2	179	143	411	172
PA14_23310	468	443	733	573
PA14_23320,cmk	173	188	266	198
PA14_23330,rpsA	1239	1151	1498	1268
PA14_23340,ihfB	141	161	135	165
PA14_23350,orfA	178	48	1	0
PA14_23360,wzz	662	169	0	0
PA14_23370,orfK	688	177	1	0
PA14_23380,orfH	769	97	3	0
PA14_23390,orfE	699	0	0	0
PA14_23400	534	0	1	0
PA14_23410,orfJ	359	0	0	0
PA14_23420	1277	91	0	0
PA14_23430	846	1	2	0
PA14_23440,orfL	556	1	1	0
PA14_23450,orfM	365	0	11	0
PA14_23460,orfN	411	0	45	38
PA14_23470,wbpM	585	619	791	726
PA14_23480	12	21	14	28
PA14_23490	9	12	22	30
PA14_23500,tyrB	237	336	501	344
PA14_23510,uvrB	319	511	589	416
PA14_23520	14	17	16	101
PA14_23530,mdr	8	14	21	86
PA14_23540,act	31	59	66	98
PA14_23560,gltx	374	382	689	426
PA14_23570	15	11	29	17
PA14_23580	12	10	18	18
PA14_23590	28	42	73	87
PA14_23610	9	37	39	42
PA14_23620,kdgA	105	107	162	120
PA14_23630	24	35	43	39
PA14_23640	48	35	100	52
PA14_23650,ygfF	46	108	91	66
PA14_23670	79	132	144	113
PA14_23680,ibpA	71	64	130	53
PA14_23690	22	62	58	51
PA14_23700	88	177	199	84
PA14_23720	78	184	175	154
PA14_23730	29	32	43	96
PA14_23750,leuC	230	330	261	329
PA14_23760,leuD	48	78	77	85
PA14_23770,yafE	82	103	87	102
PA14_23790,leuB	128	211	221	236
PA14_23800,asd	235	227	385	302
PA14_23810	119	96	205	127
PA14_23830,fimV	1373	1518	1591	1273
PA14_23840,truA	75	76	122	100
PA14_23850,trpF	119	161	195	139
PA14_23860,accD	200	250	329	265
PA14_23880,folC	273	384	435	304
PA14_23890	143	201	208	149
PA14_23900,cvpA	51	58	82	60
PA14_23920,purF	410	444	673	577
PA14_23930,metZ	196	213	361	205
PA14_23950	105	132	220	109
PA14_23970,xcpQ	396	551	507	779
PA14_23980,xcpP	149	225	201	320
PA14_23990,xcpR	188	298	293	394
PA14_24010,xcpS	79	132	168	184
PA14_24020,xcpT	131	200	202	245
PA14_24040,xcpU	72	112	116	181
PA14_24050,xcpV	31	41	49	69
PA14_24060,xcpW	90	101	124	169
PA14_24070,xcpX	167	133	158	329
PA14_24080,xcpY	142	194	267	204
PA14_24100,xcpZ	51	85	98	84
PA14_24110	24	20	35	31
PA14_24120	17	13	40	22
PA14_24130	11	8	19	9
PA14_24140	87	109	136	131
PA14_24150	103	95	163	81
PA14_24170,fadH1	146	247	223	304
PA14_24180	288	247	128	231
PA14_24190	42	35	14	28
PA14_24210	21	62	44	59
PA14_24220,ppnK	130	215	250	232
PA14_24230	71	165	190	143
PA14_24240	65	120	108	154
PA14_24245	116	124	142	157
PA14_24260	220	264	329	301
PA14_24270,pepN	437	650	776	722
PA14_24290,gbt	439	313	276	442
PA14_24300	201	134	156	153
PA14_24310	87	183	93	100
PA14_24330	326	392	192	333
PA14_24340	67	92	149	193
PA14_24350	37	47	119	129
PA14_24360	32	57	0	0
PA14_24370	78	115	194	161
PA14_24380	90	118	195	162
PA14_24390	79	200	182	156
PA14_24400	20	55	74	53
PA14_24410	10	13	24	11
PA14_24420	51	77	109	54
PA14_24430,moxR	133	184	263	216
PA14_24440	52	44	78	100
PA14_24445,gdhB	1553	1965	1944	2069
PA14_24480,pelA	21	23	8	122
PA14_24490,pelB	25	28	23	147
PA14_24500,pelC	4	2	1	13
PA14_24510,pelD	6	6	7	53
PA14_24530,pelE	12	11	7	49
PA14_24550,pelF	20	28	20	122
PA14_24560,pelG	16	27	14	119
PA14_24570	17	30	31	24
PA14_24580	120	147	149	154
PA14_24590	82	130	154	166
PA14_24600	84	212	306	280
PA14_24610	136	171	221	239
PA14_24620	99	159	145	159
PA14_24630	4	7	13	13
PA14_24640,pyrD	203	192	391	284
PA14_24650,rmf	94	179	152	182
PA14_24665	57	85	131	88
PA14_24675	106	153	216	175
PA14_24690,dacB	204	325	414	313
PA14_24700	39	33	79	61
PA14_24710	11	23	8	68
PA14_24720	42	28	40	111
PA14_24730	181	305	313	413
PA14_24740	37	56	52	90
PA14_24760,yqjE	59	121	156	208
PA14_24770	91	150	165	197
PA14_24780	16	28	14	120
PA14_24790,opdQ	572	573	396	344
PA14_24810	6	2	18	42
PA14_24820	15	8	13	28
PA14_24830	31	10	15	82
PA14_24840	37	64	90	58
PA14_24850	9	30	33	16
PA14_24860,snr1	10	28	22	132
PA14_24870	1	0	3	3
PA14_24880	92	119	108	144
PA14_24890,mobA	117	115	195	117
PA14_24900,moaB2	80	112	203	91
PA14_24910,moeA2	166	215	330	199
PA14_24920	114	129	185	127
PA14_24940	67	92	110	156
PA14_24950,glpD2	62	113	125	110
PA14_24960	60	71	112	122
PA14_24970,yegS	33	58	33	154
PA14_24980	80	151	195	123
PA14_24990	68	160	171	143
PA14_25000,slt	268	406	473	419
PA14_25020,uup	252	185	530	270
PA14_25030	106	56	215	65
PA14_25040	46	79	87	79
PA14_25050	7	8	13	15
PA14_25060	49	87	72	88
PA14_25080,fadB	596	668	856	840
PA14_25090,fadA	291	347	443	398
PA14_25100	71	87	74	116
PA14_25110,topA	1038	992	1390	1114
PA14_25130	111	134	175	163
PA14_25140	52	65	75	76
PA14_25150	42	66	105	64
PA14_25160,lexA	132	127	224	145
PA14_25180,psrA	94	98	117	160
PA14_25195,nagZ	189	261	358	258
PA14_25210	166	217	239	212
PA14_25220	136	187	250	186
PA14_25230,mfd	617	823	1256	893
PA14_25250,gapA	726	724	1046	856
PA14_25270,aroP1	110	83	170	169
PA14_25280,nqrA	312	299	518	312
PA14_25305,nqrB	260	232	341	286
PA14_25320,nqrC	203	151	282	209
PA14_25330,nqrD	119	81	167	142
PA14_25340,nqrE	182	103	215	195
PA14_25350,nqrF	351	262	432	341
PA14_25360,apbE	158	152	196	155
PA14_25370	54	62	83	88
PA14_25390,sth	459	633	765	753
PA14_25400,ugpQ	113	191	192	246
PA14_25410	56	77	78	106
PA14_25420	84	141	134	143
PA14_25430,lolC	134	160	221	237
PA14_25440,lolD	80	81	173	117
PA14_25450,lolE	133	119	223	280
PA14_25470	19	27	38	44
PA14_25480	47	71	74	96
PA14_25490	159	135	217	132
PA14_25500,exbD	89	68	96	78
PA14_25510,lpxK	127	133	191	110
PA14_25520	43	66	58	43
PA14_25530,kdsB	111	124	184	117
PA14_25540,ptpA	65	75	123	58
PA14_25550,murB	185	177	228	154
PA14_25560,rne	1347	1195	1684	1452
PA14_25580,rluC	222	262	373	233
PA14_25590	209	236	288	239
PA14_25600,sppA	338	339	453	328
PA14_25610,maf-1	39	46	66	62
PA14_25620	279	226	405	275
PA14_25630,rpmF	52	47	93	52
PA14_25640,plsX	243	146	347	220
PA14_25650,fabD	398	374	481	396
PA14_25660,fabG	421	388	527	401
PA14_25670,acpP	172	175	188	183
PA14_25690,fabF1	273	301	475	322
PA14_25710,pabC	83	112	191	116
PA14_25730	175	205	286	258
PA14_25740,tmk	53	79	134	64
PA14_25760,holB	141	196	273	150
PA14_25770,pilZ	140	139	180	164
PA14_25780,ycfH	162	143	214	150
PA14_25790	70	112	145	145
PA14_25800	116	145	260	198
PA14_25810	100	96	189	145
PA14_25820	59	99	135	114
PA14_25830	17	42	60	56
PA14_25840	563	558	808	701
PA14_25860,etfB	559	627	686	642
PA14_25880,etfA	386	463	583	457
PA14_25900	376	406	642	473
PA14_25910	40	104	99	113
PA14_25920,cobM	44	46	80	144
PA14_25930	24	26	54	59
PA14_25940	138	201	198	299
PA14_25960,cobW	91	147	212	207
PA14_25970,cobN	180	182	381	353
PA14_25980,aroF	61	45	65	56
PA14_25990	50	66	162	57
PA14_26000	14	23	39	27
PA14_26010,phaA	26	28	55	52
PA14_26020	30	169	33	1054
PA14_26050	21	9	14	72
PA14_26060	6	34	9	67
PA14_26070	6	8	21	24
PA14_26080	2	5	7	22
PA14_26090,cif	7	8	9	67
PA14_26110	5	5	5	40
PA14_26130,morB	15	15	21	47
PA14_26140,cifR	30	43	55	20
PA14_26150	15	30	48	34
PA14_26160	2	3	13	19
PA14_26165	65	45	69	80
PA14_26190	7	26	25	55
PA14_26200	2	5	8	5
PA14_26210,hisP	9	12	15	76
PA14_26220,hisM	12	9	6	66
PA14_26230,hisQ	1	3	1	49
PA14_26240,hisJ	2	3	2	55
PA14_26260	7	8	11	28
PA14_26270	18	21	41	38
PA14_26280	78	278	228	293
PA14_26300	0	2	3	4
PA14_26310	17	84	65	133
PA14_26330	31	133	97	68
PA14_26340	4	67	4	8
PA14_26350	47	138	129	106
PA14_26360,btuC	12	4	11	27
PA14_26390	22	8	26	41
PA14_26400	38	10	19	66
PA14_26420	76	24	55	249
PA14_26450,yebN	2	1	3	19
PA14_26460,cobK	13	12	36	22
PA14_26470,cbiD	32	43	93	47
PA14_26480,cobL	49	66	131	63
PA14_26485	135	113	247	130
PA14_26500,cobH	60	58	109	63
PA14_26510,cobI	74	51	156	99
PA14_26530,cobJ	80	57	205	89
PA14_26540	163	108	272	175
PA14_26550	146	105	198	154
PA14_26560	121	56	197	110
PA14_26570	33	56	34	91
PA14_26580	2	0	2	3
PA14_26590	313	426	414	449
PA14_26600	81	90	122	161
PA14_26610	72	184	149	108
PA14_26620	56	69	77	74
PA14_26640	45	95	76	132
PA14_26650	40	47	43	69
PA14_26670	63	70	142	122
PA14_26690	15	8	44	30
PA14_26700	42	57	106	89
PA14_26720,mccB	52	69	117	150
PA14_26730	34	29	59	59
PA14_26750	39	44	103	96
PA14_26760	86	82	143	92
PA14_26770	33	64	72	104
PA14_26780	33	39	22	75
PA14_26810	4	8	7	85
PA14_26830	7	25	17	30
PA14_26850	5	12	27	45
PA14_26860,hpkR	149	91	106	72
PA14_26870	4	5	2	38
PA14_26880	55	61	86	92
PA14_26890,pyrF	48	39	126	62
PA14_26910,moxR	80	91	107	62
PA14_26920	34	50	61	34
PA14_26930	178	120	146	145
PA14_26940	72	54	75	52
PA14_26960	132	181	239	176
PA14_26970	26	35	34	113
PA14_26980	15	40	29	40
PA14_26990	3	15	28	13
PA14_27000	189	522	685	235
PA14_27020,mttC	43	62	93	86
PA14_27050	121	158	156	207
PA14_27070	14	49	31	54
PA14_27090,lipH	14	19	11	50
PA14_27100,lipA	63	67	69	92
PA14_27110,ligT	6	4	8	30
PA14_27120	34	60	80	58
PA14_27130,greB	64	95	139	119
PA14_27140	123	271	317	232
PA14_27150	31	42	98	66
PA14_27160,tesA	133	131	231	130
PA14_27170	12	19	40	31
PA14_27180,erfK	288	394	446	418
PA14_27190	11	16	20	22
PA14_27200	143	188	225	208
PA14_27210,efp	342	306	431	324
PA14_27220,ohr	34	6	27	30
PA14_27230	81	84	113	92
PA14_27250	24	18	34	78
PA14_27270	19	12	22	38
PA14_27280	29	30	70	75
PA14_27290	5	5	9	3
PA14_27310	43	107	158	74
PA14_27330,dhs	133	140	209	185
PA14_27350	21	72	81	39
PA14_27360	33	54	31	53
PA14_27370,deaD	63	18	90	109
PA14_27390	33	44	50	66
PA14_27400	4	10	8	41
PA14_27410,trpC	4	8	15	36
PA14_27420,trpB	5	9	4	70
PA14_27430	16	4	10	87
PA14_27440,trpR	97	46	58	203
PA14_27450	40	56	55	63
PA14_27460,tpm	78	102	113	105
PA14_27470	110	87	157	251
PA14_27480,htpX	212	284	362	225
PA14_27490	46	21	96	58
PA14_27500,yfbQ	234	128	456	252
PA14_27510,msrB	94	134	119	119
PA14_27520,gpo	104	122	124	119
PA14_27530	50	69	78	111
PA14_27550	148	340	238	350
PA14_27560	198	233	346	194
PA14_27570	46	57	107	51
PA14_27580	59	104	121	100
PA14_27590	155	261	247	197
PA14_27600	31	34	44	29
PA14_27610	12	12	25	28
PA14_27620	6	8	10	12
PA14_27630,rebB1	4	8	6	54
PA14_27640,rebB2	5	34	7	53
PA14_27650	8	38	14	61
PA14_27660	4	17	8	23
PA14_27675	7	34	16	151
PA14_27680	0	6	4	23
PA14_27690,fecI	3	2	0	27
PA14_27700	5	9	3	67
PA14_27710	23	36	60	60
PA14_27720	20	57	41	54
PA14_27730,fadE	165	450	282	868
PA14_27740	26	28	31	51
PA14_27755,yliJ	88	103	191	161
PA14_27770,yadG	164	193	296	358
PA14_27780,yadH	98	136	192	135
PA14_27800	31	84	71	156
PA14_27810,copR	32	38	45	117
PA14_27830	0	2	2	34
PA14_27840	12	13	1	331
PA14_27850,queF	15	28	63	100
PA14_27870	54	64	67	74
PA14_27880	1	6	3	49
PA14_27890	4	6	5	23
PA14_27900	68	79	141	77
PA14_27910	82	78	113	130
PA14_27920,vacJ	193	231	341	216
PA14_27930	13	33	21	26
PA14_27940	371	381	614	506
PA14_27950	97	106	110	152
PA14_27960,tal	196	408	390	402
PA14_27980,yjbN	63	70	149	97
PA14_27990	210	525	361	605
PA14_28000	302	336	402	249
PA14_28010	46	83	148	53
PA14_28020	2	1	20	23
PA14_28030	64	106	81	106
PA14_28040	14	83	78	85
PA14_28050	53	329	441	187
PA14_28060,cpg2	8	72	12	84
PA14_28070	5	7	6	30
PA14_28080	2	1	12	12
PA14_28090	10	8	40	25
PA14_28100	12	8	3	87
PA14_28110	7	4	8	29
PA14_28120	23	55	49	57
PA14_28130	41	108	124	97
PA14_28140	7	102	69	108
PA14_28150	8	44	33	56
PA14_28170,yfdC	63	82	55	228
PA14_28180,ordL	262	211	283	277
PA14_28190	8	8	10	10
PA14_28200	25	72	114	57
PA14_28210	33	94	119	66
PA14_28220	18	28	27	58
PA14_28230	10	6	7	9
PA14_28240	39	2	4	31
PA14_28250	121	4	6	120
PA14_28260	94	78	82	67
PA14_28280	145	106	195	102
PA14_28290	35	29	63	44
PA14_28300	3	2	2	15
PA14_28310	12	13	20	62
PA14_28320	17	29	41	24
PA14_28330	6	5	16	9
PA14_28340	195	227	345	196
PA14_28350	39	161	115	114
PA14_28360	7	12	13	37
PA14_28370	2	4	3	4
PA14_28380	10	21	15	39
PA14_28390	47	44	15	28
PA14_28400,oprQ	737	719	941	532
PA14_28410	8	11	12	96
PA14_28420	60	38	83	71
PA14_28430	23	21	62	78
PA14_28440	81	112	110	115
PA14_28450,eco	168	228	255	233
PA14_28460	40	103	73	98
PA14_28470	3	3	3	21
PA14_28490	42	123	68	138
PA14_28500	32	105	110	89
PA14_28510	4	4	7	22
PA14_28520	9	10	10	44
PA14_28530	17	23	12	125
PA14_28540	1	3	1	14
PA14_28560	26	23	52	28
PA14_28570,endA	55	20	68	73
PA14_28580	57	49	58	43
PA14_28590,mapB	25	50	57	70
PA14_28600	92	90	65	182
PA14_28610	28	65	21	73
PA14_28620	3	15	1	40
PA14_28630	12	32	29	40
PA14_28650,thrS	723	835	1058	795
PA14_28660,infC	488	488	518	484
PA14_28670,rpmI	182	175	181	165
PA14_28680,rplT	240	238	292	243
PA14_28690,pheS	231	244	422	347
PA14_28710,pheT	495	500	813	670
PA14_28720,ihfA	201	232	238	234
PA14_28730	168	245	235	216
PA14_28740	10	11	32	17
PA14_28750	26	1	13	0
PA14_28760	24	7	10	10
PA14_28770	315	0	0	0
PA14_28780	74	0	8	8
PA14_28790	33	0	0	0
PA14_28800	164	1	0	0
PA14_28810	1350	1	1	1
PA14_28820	583	1	1	4
PA14_28830	310	0	1	4
PA14_28840	754	7	7	0
PA14_28850	152	72	79	110
PA14_28870	20	4	16	12
PA14_28880	57	155	190	194
PA14_28895	275	673	943	660
PA14_28910	26	66	72	59
PA14_28920	175	391	428	304
PA14_28930	5	15	35	14
PA14_28940	33	38	57	53
PA14_28950	11	72	16	78
PA14_28960	14	68	20	114
PA14_28970	9	0	7	26
PA14_28980	4	0	4	21
PA14_28990	37	79	139	111
PA14_29000	22	76	50	48
PA14_29010	54	117	79	87
PA14_29020,cpo	13	63	27	100
PA14_29030	19	59	44	66
PA14_29040	5	6	8	23
PA14_29050	43	52	61	132
PA14_29060	51	93	96	80
PA14_29070	42	23	17	42
PA14_29090,potF4	54	147	91	210
PA14_29100	35	64	69	76
PA14_29110,cysK	232	338	417	379
PA14_29120	56	63	36	141
PA14_29130	250	304	349	362
PA14_29150	61	82	84	104
PA14_29160	138	236	301	325
PA14_29180	10	24	16	31
PA14_29190	14	44	35	51
PA14_29200	43	100	101	103
PA14_29210,tetV	2	29	9	36
PA14_29220,opdB	7	28	9	80
PA14_29230	15	62	29	185
PA14_29240	26	67	71	96
PA14_29250	7	10	14	29
PA14_29260	25	56	40	77
PA14_29270,yaiW	65	74	159	129
PA14_29280,trxA	5	10	17	31
PA14_29290	9	9	32	32
PA14_29300	15	29	53	17
PA14_29320	19	82	132	67
PA14_29330	11	0	72	1
PA14_29340	4	1	1	6
PA14_29350,pfeA	28	32	17	202
PA14_29360,pfeS	51	55	72	98
PA14_29375	56	46	46	36
PA14_29390	470	586	738	533
PA14_29400,rhs	366	456	863	426
PA14_29410	72	180	125	116
PA14_29420,ysgA	24	73	73	133
PA14_29440	20	41	34	30
PA14_29460,qor	11	21	20	46
PA14_29470	63	159	146	188
PA14_29480,wzm	10	16	18	66
PA14_29490,hplR	26	59	38	162
PA14_29500,hplS	17	38	37	146
PA14_29510,hplT	12	16	19	43
PA14_29520,hplU	4	7	9	16
PA14_29530,hplV	4	11	2	14
PA14_29540,hplW	4	5	10	22
PA14_29550	18	31	23	109
PA14_29560	36	46	34	148
PA14_29570	19	39	18	110
PA14_29575	90	126	121	170
PA14_29590	149	125	161	131
PA14_29600,ptpS	28	32	52	45
PA14_29620,norR	67	147	109	153
PA14_29640,fhp	461	67	720	278
PA14_29650	67	19	130	49
PA14_29660	113	23	409	58
PA14_29680	86	100	88	142
PA14_29690	95	102	118	119
PA14_29710	108	153	167	172
PA14_29720	82	115	130	91
PA14_29730	62	97	128	90
PA14_29740	70	135	133	144
PA14_29750	7	6	6	13
PA14_29760	175	472	594	345
PA14_29770	23	13	69	40
PA14_29800	197	283	390	349
PA14_29820	103	123	153	218
PA14_29830	6	16	25	28
PA14_29850,nuoN	197	326	332	337
PA14_29860,nuoM	249	402	382	429
PA14_29880,nuoL	400	594	688	614
PA14_29890,nuoK	76	107	129	129
PA14_29900,nuoJ	102	135	170	130
PA14_29920,nuoI	142	224	234	199
PA14_29930,nuoH	301	346	425	400
PA14_29940,nuoG	745	904	1009	940
PA14_29970,nuoF	475	508	709	652
PA14_29980,nuoE	147	169	240	204
PA14_29990,nuoD	739	808	997	899
PA14_30010,nuoB	264	316	410	364
PA14_30020,nuoA	180	223	268	219
PA14_30030	10	14	8	47
PA14_30040	28	26	25	177
PA14_30050,aceA	591	842	778	892
PA14_30070	85	150	146	207
PA14_30080	69	116	127	119
PA14_30090	71	99	104	81
PA14_30100	180	169	315	188
PA14_30110,purB	270	231	603	370
PA14_30130	40	58	69	123
PA14_30140	53	80	128	85
PA14_30150,mnmA	195	250	428	247
PA14_30160,mutT	20	37	36	81
PA14_30180,idh	976	1205	1392	1554
PA14_30190,icd	920	1148	1182	1153
PA14_30200,cspD	129	203	157	204
PA14_30210,clpS	290	323	313	354
PA14_30230,clpA	768	1201	1218	1271
PA14_30240,infA	38	23	64	29
PA14_30260,ate1	71	164	102	259
PA14_30270,aat	75	80	104	103
PA14_30280,trxB1	466	507	628	535
PA14_30290,ftsK	595	688	820	671
PA14_30310,lolA	240	244	319	301
PA14_30320,ycaJ	345	384	514	416
PA14_30330,serS	420	357	549	457
PA14_30340,cysG	202	265	393	222
PA14_30350,yqjG	17	25	21	88
PA14_30360	145	284	297	338
PA14_30370	27	43	69	76
PA14_30380	43	90	75	88
PA14_30390	36	42	65	56
PA14_30400,dsrE	24	47	63	41
PA14_30410,yccA	163	246	314	196
PA14_30420	2	8	14	10
PA14_30430	87	110	109	149
